datetime,humidity,temperature,pm_2_5_lag_1,pm_2_5_lag_3,pm_2_5_lag_6,pm_2_5_lag_24,hour,dayofweek,sin_1,cos_1,sin_2,cos_2,sin_3,cos_3,sin_4,cos_4
2025-02-11 00:00:00,41.37264171416667,34.77612173791667,9.852459016,9.852459016,9.852459016,9.852459016,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2025-02-11 01:00:00,41.37264171416667,34.77612173791667,9.997434072494507,9.852459016,9.852459016,9.852459016,1,1,0.037391194276325625,0.9993007047883985,0.07473009358642425,0.9972037971811801,0.11196447610330786,0.9937122098932426,0.14904226617617444,0.9888308262251285
2025-02-11 02:00:00,41.37264171416667,34.77612173791667,9.25507255077362,9.852459016,9.852459016,9.852459016,2,1,0.07473009358642425,0.9972037971811801,0.14904226617617444,0.9888308262251285,0.2225209339563144,0.9749279121818236,0.2947551744109042,0.9555728057861407
2025-02-11 03:00:00,41.37264171416667,34.77612173791667,8.965721006393432,9.997434072494507,9.852459016,9.852459016,3,1,0.11196447610330786,0.9937122098932426,0.2225209339563144,0.9749279121818236,0.3302790619551671,0.9438833303083676,0.4338837391175581,0.9009688679024191
2025-02-11 04:00:00,41.37264171416667,34.77612173791667,9.013109707832337,9.25507255077362,9.852459016,9.852459016,4,1,0.14904226617617444,0.9888308262251285,0.2947551744109042,0.9555728057861407,0.4338837391175581,0.9009688679024191,0.5633200580636221,0.8262387743159949
2025-02-11 05:00:00,41.37264171416667,34.77612173791667,8.682685689926148,8.965721006393432,9.852459016,9.852459016,5,1,0.18591160716291458,0.9825664732332883,0.365341024366395,0.9308737486442042,0.5320320765153366,0.8467241992282842,0.6801727377709194,0.7330518718298263
2025-02-11 06:00:00,41.37264171416667,34.77612173791667,8.538592581748963,9.013109707832337,9.997434072494507,9.852459016,6,1,0.2225209339563144,0.9749279121818236,0.4338837391175581,0.9009688679024191,0.6234898018587335,0.7818314824680298,0.7818314824680298,0.6234898018587336
2025-02-11 07:00:00,41.37264171416667,34.77612173791667,8.544243612289428,8.682685689926148,9.25507255077362,9.852459016,7,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.7071067811865476,0.7071067811865476,0.8660254037844386,0.5000000000000001
2025-02-11 08:00:00,41.37264171416667,34.77612173791667,8.034193272590636,8.538592581748963,8.965721006393432,9.852459016,8,1,0.2947551744109042,0.9555728057861407,0.5633200580636221,0.8262387743159949,0.7818314824680298,0.6234898018587336,0.9308737486442042,0.365341024366395
2025-02-11 09:00:00,41.37264171416667,34.77612173791667,7.3934614992141725,8.544243612289428,9.013109707832337,9.852459016,9,1,0.3302790619551671,0.9438833303083676,0.6234898018587335,0.7818314824680298,0.8467241992282841,0.5320320765153366,0.9749279121818236,0.22252093395631445
2025-02-11 10:00:00,41.37264171416667,34.77612173791667,7.158312400579453,8.034193272590636,8.682685689926148,9.852459016,10,1,0.365341024366395,0.9308737486442042,0.6801727377709194,0.7330518718298263,0.9009688679024191,0.4338837391175582,0.9972037971811801,0.07473009358642439
2025-02-11 11:00:00,41.37264171416667,34.77612173791667,7.449768590927124,7.3934614992141725,8.538592581748963,9.852459016,11,1,0.3998920243197409,0.9165622558699762,0.7330518718298262,0.6801727377709195,0.9438833303083676,0.33027906195516715,0.9972037971811801,-0.07473009358642405
2025-02-11 12:00:00,41.37264171416667,34.77612173791667,8.043137214183808,7.158312400579453,8.544243612289428,9.852459016,12,1,0.4338837391175581,0.9009688679024191,0.7818314824680298,0.6234898018587336,0.9749279121818236,0.22252093395631445,0.9749279121818236,-0.22252093395631434
2025-02-11 13:00:00,41.37264171416667,34.77612173791667,7.368605585098266,7.449768590927124,8.034193272590636,9.852459016,13,1,0.467268628273062,0.8841153935046098,0.8262387743159949,0.563320058063622,0.9937122098932426,0.11196447610330791,0.9308737486442042,-0.3653410243663951
2025-02-11 14:00:00,41.37264171416667,34.77612173791667,7.964307594299316,8.043137214183808,7.3934614992141725,9.852459016,14,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
2025-02-11 15:00:00,41.37264171416667,34.77612173791667,7.573432831764221,7.368605585098266,7.158312400579453,9.852459016,15,1,0.5320320765153366,0.8467241992282842,0.9009688679024191,0.4338837391175582,0.9937122098932426,-0.1119644761033078,0.7818314824680299,-0.6234898018587335
2025-02-11 16:00:00,41.37264171416667,34.77612173791667,7.958103036880493,7.964307594299316,7.449768590927124,9.852459016,16,1,0.5633200580636221,0.8262387743159949,0.9308737486442042,0.365341024366395,0.9749279121818236,-0.22252093395631434,0.6801727377709194,-0.7330518718298263
2025-02-11 17:00:00,41.37264171416667,34.77612173791667,7.573986506462097,7.573432831764221,8.043137214183808,9.852459016,17,1,0.5938201855735017,0.8045977797666682,0.9555728057861408,0.2947551744109041,0.9438833303083676,-0.330279061955167,0.5633200580636218,-0.826238774315995
2025-02-11 18:00:00,41.37264171416667,34.77612173791667,8.015509262084962,7.958103036880493,7.368605585098266,9.852459016,18,1,0.6234898018587335,0.7818314824680298,0.9749279121818236,0.22252093395631445,0.9009688679024191,-0.43388373911755806,0.43388373911755823,-0.900968867902419
2025-02-11 19:00:00,41.37264171416667,34.77612173791667,7.37095929145813,7.573986506462097,7.964307594299316,9.852459016,19,1,0.6522874112781211,0.757971723145453,0.9888308262251285,0.14904226617617464,0.8467241992282842,-0.5320320765153365,0.2947551744109046,-0.9555728057861406
