datetime,temperature_lag_1,temperature_lag_3,temperature_lag_6,temperature_lag_24,hour,dayofweek
2025-02-11 00:00:00,34.87491803,34.87491803,34.87491803,34.87491803,0,1
2025-02-11 01:00:00,33.95535026550293,34.87491803,34.87491803,34.87491803,1,1
2025-02-11 02:00:00,34.784517250061036,34.87491803,34.87491803,34.87491803,2,1
2025-02-11 03:00:00,34.01853126525879,33.95535026550293,34.87491803,34.87491803,3,1
2025-02-11 04:00:00,33.487159729003906,34.784517250061036,34.87491803,34.87491803,4,1
2025-02-11 05:00:00,34.3642353439331,34.01853126525879,34.87491803,34.87491803,5,1
2025-02-11 06:00:00,34.257463722229005,33.487159729003906,33.95535026550293,34.87491803,6,1
2025-02-11 07:00:00,34.45482711791992,34.3642353439331,34.784517250061036,34.87491803,7,1
2025-02-11 08:00:00,33.47689201354981,34.257463722229005,34.01853126525879,34.87491803,8,1
2025-02-11 09:00:00,33.81084522247315,34.45482711791992,33.487159729003906,34.87491803,9,1
2025-02-11 10:00:00,35.773786277770995,33.47689201354981,34.3642353439331,34.87491803,10,1
2025-02-11 11:00:00,35.49560520172119,33.81084522247315,34.257463722229005,34.87491803,11,1
2025-02-11 12:00:00,35.77438999176025,35.773786277770995,34.45482711791992,34.87491803,12,1
2025-02-11 13:00:00,35.4056978225708,35.49560520172119,33.47689201354981,34.87491803,13,1
2025-02-11 14:00:00,35.48732120513916,35.77438999176025,33.81084522247315,34.87491803,14,1
2025-02-11 15:00:00,34.67482856750488,35.4056978225708,35.773786277770995,34.87491803,15,1
2025-02-11 16:00:00,33.65905624389649,35.48732120513916,35.49560520172119,34.87491803,16,1
2025-02-11 17:00:00,34.84467761993408,34.67482856750488,35.77438999176025,34.87491803,17,1
2025-02-11 18:00:00,34.666829643249514,33.65905624389649,35.4056978225708,34.87491803,18,1
2025-02-11 19:00:00,34.71735450744629,34.84467761993408,35.48732120513916,34.87491803,19,1
2025-02-11 20:00:00,34.7835387802124,34.666829643249514,34.67482856750488,34.87491803,20,1
2025-02-11 21:00:00,34.37649669647217,34.71735450744629,33.65905624389649,34.87491803,21,1
2025-02-11 22:00:00,35.73514041900635,34.7835387802124,34.84467761993408,34.87491803,22,1
2025-02-11 23:00:00,35.43988273620605,34.37649669647217,34.666829643249514,34.87491803,23,1
2025-02-12 00:00:00,37.835487060546875,35.73514041900635,34.71735450744629,33.95535026550293,0,2
2025-02-12 01:00:00,36.34712921142578,35.43988273620605,34.7835387802124,34.784517250061036,1,2
2025-02-12 02:00:00,36.442750701904295,37.835487060546875,34.37649669647217,34.01853126525879,2,2
2025-02-12 03:00:00,37.00629219055176,36.34712921142578,35.73514041900635,33.487159729003906,3,2
2025-02-12 04:00:00,36.60614543914795,36.442750701904295,35.43988273620605,34.3642353439331,4,2
2025-02-12 05:00:00,37.29087459564209,37.00629219055176,37.835487060546875,34.257463722229005,5,2
2025-02-12 06:00:00,36.72436725616455,36.60614543914795,36.34712921142578,34.45482711791992,6,2
2025-02-12 07:00:00,36.181272195180256,37.29087459564209,36.442750701904295,33.47689201354981,7,2
2025-02-12 08:00:00,35.58046060880025,36.72436725616455,37.00629219055176,33.81084522247315,8,2
2025-02-12 09:00:00,35.87431427001953,36.181272195180256,36.60614543914795,35.773786277770995,9,2
2025-02-12 10:00:00,36.03456665039062,35.58046060880025,37.29087459564209,35.49560520172119,10,2
2025-02-12 11:00:00,35.0655004119873,35.87431427001953,36.72436725616455,35.77438999176025,11,2
2025-02-12 12:00:00,35.077005516052246,36.03456665039062,36.181272195180256,35.4056978225708,12,2
2025-02-12 13:00:00,34.34079235076904,35.0655004119873,35.58046060880025,35.48732120513916,13,2
2025-02-12 14:00:00,33.61215675354004,35.077005516052246,35.87431427001953,34.67482856750488,14,2
2025-02-12 15:00:00,33.87629409790039,34.34079235076904,36.03456665039062,33.65905624389649,15,2
2025-02-12 16:00:00,33.77118026733398,33.61215675354004,35.0655004119873,34.84467761993408,16,2
2025-02-12 17:00:00,33.657665481567385,33.87629409790039,35.077005516052246,34.666829643249514,17,2
2025-02-12 18:00:00,33.79897094726562,33.77118026733398,34.34079235076904,34.71735450744629,18,2
2025-02-12 19:00:00,34.55974948883057,33.657665481567385,33.61215675354004,34.7835387802124,19,2
2025-02-12 20:00:00,36.13332130432129,33.79897094726562,33.87629409790039,34.37649669647217,20,2
2025-02-12 21:00:00,35.78193885803223,34.55974948883057,33.77118026733398,35.73514041900635,21,2
2025-02-12 22:00:00,34.64640598297119,36.13332130432129,33.657665481567385,35.43988273620605,22,2
2025-02-12 23:00:00,34.103255411783856,35.78193885803223,33.79897094726562,37.835487060546875,23,2
2025-02-13 00:00:00,34.64037220001221,34.64640598297119,34.55974948883057,36.34712921142578,0,3
2025-02-13 01:00:00,35.18860256195068,34.103255411783856,36.13332130432129,36.442750701904295,1,3
2025-02-13 02:00:00,36.347420387268066,34.64037220001221,35.78193885803223,37.00629219055176,2,3
2025-02-13 03:00:00,36.442750701904295,35.18860256195068,34.64640598297119,36.60614543914795,3,3
2025-02-13 04:00:00,37.00629219055176,36.347420387268066,34.103255411783856,37.29087459564209,4,3
2025-02-13 05:00:00,36.60614543914795,36.442750701904295,34.64037220001221,36.72436725616455,5,3
2025-02-13 06:00:00,37.29087459564209,37.00629219055176,35.18860256195068,36.181272195180256,6,3
2025-02-13 07:00:00,36.72436725616455,36.60614543914795,36.347420387268066,35.58046060880025,7,3
2025-02-13 08:00:00,36.181272195180256,37.29087459564209,36.442750701904295,35.87431427001953,8,3
