datetime,humidity_lag_1,humidity_lag_3,humidity_lag_6,humidity_lag_24,hour,dayofweek
2025-02-11 00:00:00,42.77321639,42.77321639,42.77321639,42.77321639,0,1
2025-02-11 01:00:00,43.20176517486572,42.77321639,42.77321639,42.77321639,1,1
2025-02-11 02:00:00,40.38508598327637,42.77321639,42.77321639,42.77321639,2,1
2025-02-11 03:00:00,39.31158203125,43.20176517486572,42.77321639,42.77321639,3,1
2025-02-11 04:00:00,36.40288875579834,40.38508598327637,42.77321639,42.77321639,4,1
2025-02-11 05:00:00,37.97775367736816,39.31158203125,42.77321639,42.77321639,5,1
2025-02-11 06:00:00,40.474740753173826,36.40288875579834,43.20176517486572,42.77321639,6,1
2025-02-11 07:00:00,39.95882873535156,37.97775367736816,40.38508598327637,42.77321639,7,1
2025-02-11 08:00:00,40.93905601501465,40.474740753173826,39.31158203125,42.77321639,8,1
2025-02-11 09:00:00,41.15829353332519,39.95882873535156,36.40288875579834,42.77321639,9,1
2025-02-11 10:00:00,39.66002975463867,40.93905601501465,37.97775367736816,42.77321639,10,1
2025-02-11 11:00:00,38.501539421081546,41.15829353332519,40.474740753173826,42.77321639,11,1
2025-02-11 12:00:00,36.222365837097165,39.66002975463867,39.95882873535156,42.77321639,12,1
2025-02-11 13:00:00,37.6445626449585,38.501539421081546,40.93905601501465,42.77321639,13,1
2025-02-11 14:00:00,36.29414867401123,36.222365837097165,41.15829353332519,42.77321639,14,1
2025-02-11 15:00:00,38.785419654846194,37.6445626449585,39.66002975463867,42.77321639,15,1
2025-02-11 16:00:00,36.859817810058594,36.29414867401123,38.501539421081546,42.77321639,16,1
2025-02-11 17:00:00,37.734614028930665,38.785419654846194,36.222365837097165,42.77321639,17,1
2025-02-11 18:00:00,39.09478054046631,36.859817810058594,37.6445626449585,42.77321639,18,1
2025-02-11 19:00:00,40.389532508850095,37.734614028930665,36.29414867401123,42.77321639,19,1
2025-02-11 20:00:00,41.501665649414065,39.09478054046631,38.785419654846194,42.77321639,20,1
2025-02-11 21:00:00,43.309263725280765,40.389532508850095,36.859817810058594,42.77321639,21,1
2025-02-11 22:00:00,43.12351497650147,41.501665649414065,37.734614028930665,42.77321639,22,1
2025-02-11 23:00:00,41.9170361328125,43.309263725280765,39.09478054046631,42.77321639,23,1
2025-02-12 00:00:00,41.16603500366211,43.12351497650147,40.389532508850095,43.20176517486572,0,2
2025-02-12 01:00:00,41.584712448120115,41.9170361328125,41.501665649414065,40.38508598327637,1,2
2025-02-12 02:00:00,41.782367362976075,41.16603500366211,43.309263725280765,39.31158203125,2,2
2025-02-12 03:00:00,39.02426105499268,41.584712448120115,43.12351497650147,36.40288875579834,3,2
2025-02-12 04:00:00,37.5367378616333,41.782367362976075,41.9170361328125,37.97775367736816,4,2
2025-02-12 05:00:00,40.527457847595215,39.02426105499268,41.16603500366211,40.474740753173826,5,2
2025-02-12 06:00:00,42.204184951782224,37.5367378616333,41.584712448120115,39.95882873535156,6,2
2025-02-12 07:00:00,42.24709682464599,40.527457847595215,41.782367362976075,40.93905601501465,7,2
2025-02-12 08:00:00,45.72924160003662,42.204184951782224,39.02426105499268,41.15829353332519,8,2
2025-02-12 09:00:00,48.793553009033204,42.24709682464599,37.5367378616333,39.66002975463867,9,2
2025-02-12 10:00:00,48.228550567626954,45.72924160003662,40.527457847595215,38.501539421081546,10,2
2025-02-12 11:00:00,50.711449699401854,48.793553009033204,42.204184951782224,36.222365837097165,11,2
2025-02-12 12:00:00,50.588168678283694,48.228550567626954,42.24709682464599,37.6445626449585,12,2
2025-02-12 13:00:00,51.818333282470704,50.711449699401854,45.72924160003662,36.29414867401123,13,2
2025-02-12 14:00:00,51.50352996826172,50.588168678283694,48.793553009033204,38.785419654846194,14,2
2025-02-12 15:00:00,46.961152992248536,51.818333282470704,48.228550567626954,36.859817810058594,15,2
2025-02-12 16:00:00,45.51212142944336,51.50352996826172,50.711449699401854,37.734614028930665,16,2
2025-02-12 17:00:00,46.92462158203125,46.961152992248536,50.588168678283694,39.09478054046631,17,2
2025-02-12 18:00:00,48.93507038116455,45.51212142944336,51.818333282470704,40.389532508850095,18,2
2025-02-12 19:00:00,52.6203796005249,46.92462158203125,51.50352996826172,41.501665649414065,19,2
2025-02-12 20:00:00,51.05327827453613,48.93507038116455,46.961152992248536,43.309263725280765,20,2
2025-02-12 21:00:00,51.49764015197754,52.6203796005249,45.51212142944336,43.12351497650147,21,2
2025-02-12 22:00:00,47.92869750976563,51.05327827453613,46.92462158203125,41.9170361328125,22,2
2025-02-12 23:00:00,48.65278411865234,51.49764015197754,48.93507038116455,41.16603500366211,23,2
2025-02-13 00:00:00,48.85372146606446,47.92869750976563,52.6203796005249,41.584712448120115,0,3
2025-02-13 01:00:00,49.73520950317383,48.65278411865234,51.05327827453613,41.782367362976075,1,3
2025-02-13 02:00:00,53.819570770263674,48.85372146606446,51.49764015197754,39.02426105499268,2,3
2025-02-13 03:00:00,51.18677280426025,49.73520950317383,47.92869750976563,37.5367378616333,3,3
2025-02-13 04:00:00,50.49512706756592,53.819570770263674,48.65278411865234,40.527457847595215,4,3
2025-02-13 05:00:00,46.06286106109619,51.18677280426025,48.85372146606446,42.204184951782224,5,3
2025-02-13 06:00:00,45.96312557220459,50.49512706756592,49.73520950317383,42.24709682464599,6,3
2025-02-13 07:00:00,46.41604961395264,46.06286106109619,53.819570770263674,45.72924160003662,7,3
2025-02-13 08:00:00,47.25879383087158,45.96312557220459,51.18677280426025,48.793553009033204,8,3
