datetime,prediction_label
2025-02-11 00:00:00,9.997434072494507
2025-02-11 01:00:00,9.25507255077362
2025-02-11 02:00:00,8.965721006393432
2025-02-11 03:00:00,9.013109707832337
2025-02-11 04:00:00,8.682685689926148
2025-02-11 05:00:00,8.538592581748963
2025-02-11 06:00:00,8.544243612289428
2025-02-11 07:00:00,8.034193272590636
2025-02-11 08:00:00,7.3934614992141725
2025-02-11 09:00:00,7.158312400579453
2025-02-11 10:00:00,7.449768590927124
2025-02-11 11:00:00,8.043137214183808
2025-02-11 12:00:00,7.368605585098266
2025-02-11 13:00:00,7.964307594299316
2025-02-11 14:00:00,7.573432831764221
2025-02-11 15:00:00,7.958103036880493
2025-02-11 16:00:00,7.573986506462097
2025-02-11 17:00:00,8.015509262084962
2025-02-11 18:00:00,7.37095929145813
2025-02-11 19:00:00,7.828056788444519
2025-02-11 20:00:00,8.085128140449523
2025-02-11 21:00:00,7.323995714187622
2025-02-11 22:00:00,7.252153105735779
2025-02-11 23:00:00,7.370386619567871
2025-02-12 00:00:00,7.84567964553833
2025-02-12 01:00:00,8.15991473197937
2025-02-12 02:00:00,7.674598269462585
2025-02-12 03:00:00,8.11605423927307
2025-02-12 04:00:00,8.00201376438141
2025-02-12 05:00:00,7.229609642028809
2025-02-12 06:00:00,7.993543701171875
2025-02-12 07:00:00,6.77170608997345
2025-02-12 08:00:00,6.937759032249451
2025-02-12 09:00:00,7.62118408203125
2025-02-12 10:00:00,7.375180492401123
2025-02-12 11:00:00,7.1735020446777344
2025-02-12 12:00:00,7.013509259223938
2025-02-12 13:00:00,7.286338717937469
2025-02-12 14:00:00,6.208844497203827
2025-02-12 15:00:00,6.693670315742493
2025-02-12 16:00:00,7.106222896575928
2025-02-12 17:00:00,7.646410348415375
2025-02-12 18:00:00,7.231979832649231
2025-02-12 19:00:00,6.1927660989761355
2025-02-12 20:00:00,6.1513106155395505
2025-02-12 21:00:00,6.951592509746551
2025-02-12 22:00:00,7.301214933395386
2025-02-12 23:00:00,6.858770399093628
2025-02-13 00:00:00,7.477604579925537
2025-02-13 01:00:00,7.642309358119965
2025-02-13 02:00:00,7.427068765163422
2025-02-13 03:00:00,7.300239198207855
2025-02-13 04:00:00,6.698536179065704
2025-02-13 05:00:00,7.063460764884948
2025-02-13 06:00:00,7.853339464664459
2025-02-13 07:00:00,8.266787147521972
2025-02-13 08:00:00,8.021946005821228
2025-02-13 09:00:00,7.266131024360657
2025-02-13 10:00:00,6.267881059646607
2025-02-13 11:00:00,6.1036260080337525
2025-02-13 12:00:00,6.92529849767685
2025-02-13 13:00:00,7.522087807655335
2025-02-13 14:00:00,7.3822018432617185
2025-02-13 15:00:00,6.9446245741844175
2025-02-13 16:00:00,7.537584176063538
2025-02-13 17:00:00,7.493218803405762
2025-02-13 18:00:00,7.558393783569336
2025-02-13 19:00:00,7.1619079351425174
2025-02-13 20:00:00,7.287797060012817
2025-02-13 21:00:00,6.622726149559021
2025-02-13 22:00:00,6.918890759944916
2025-02-13 23:00:00,7.8663646340370175
2025-02-14 00:00:00,7.784340999126434
2025-02-14 01:00:00,7.405496907234192
2025-02-14 02:00:00,7.041948187351227
2025-02-14 03:00:00,7.05298909664154
2025-02-14 04:00:00,7.261466960906983
2025-02-14 05:00:00,6.399903583526611
2025-02-14 06:00:00,6.293475832939148
2025-02-14 07:00:00,5.85417207479477
2025-02-14 08:00:00,7.1836265325546265
2025-02-14 09:00:00,6.874349479675293
2025-02-14 10:00:00,8.490440983772277
2025-02-14 11:00:00,7.904747705459595
2025-02-14 12:00:00,7.821844239234924
2025-02-14 13:00:00,7.780431332588196
2025-02-14 14:00:00,7.140434341430664
2025-02-14 15:00:00,6.5953082180023195
2025-02-14 16:00:00,6.984333891868591
2025-02-14 17:00:00,7.306319689750671
2025-02-14 18:00:00,6.518094491958618
2025-02-14 19:00:00,7.072078824043274
2025-02-14 20:00:00,6.990407319068908
2025-02-14 21:00:00,7.808476939201355
2025-02-14 22:00:00,7.9181570720672605
2025-02-14 23:00:00,6.744267299175262
2025-02-15 00:00:00,7.197269971370697
2025-02-15 01:00:00,6.611527581214904
2025-02-15 02:00:00,6.932306151390076
2025-02-15 03:00:00,8.082732968330383
2025-02-15 04:00:00,7.548741223812104
2025-02-15 05:00:00,7.721858642101288
2025-02-15 06:00:00,7.6943941903114315
2025-02-15 07:00:00,6.872400615215302
2025-02-15 08:00:00,8.037475986480713
2025-02-15 09:00:00,7.5513012409210205
2025-02-15 10:00:00,8.57201964378357
2025-02-15 11:00:00,8.667407121658325
2025-02-15 12:00:00,8.154947819709777
2025-02-15 13:00:00,7.105101516246796
2025-02-15 14:00:00,6.787552413940429
2025-02-15 15:00:00,7.0816283035278325
2025-02-15 16:00:00,6.783893523216247
2025-02-15 17:00:00,6.887296314239502
2025-02-15 18:00:00,7.628598566055298
2025-02-15 19:00:00,6.912261633872986
2025-02-15 20:00:00,8.044816637039185
2025-02-15 21:00:00,6.852516222000122
2025-02-15 22:00:00,7.433088760375977
2025-02-15 23:00:00,7.237610278129577
2025-02-16 00:00:00,6.474705820083618
2025-02-16 01:00:00,6.262092068195343
2025-02-16 02:00:00,6.56093410730362
2025-02-16 03:00:00,6.828162889480591
2025-02-16 04:00:00,7.565881967544556
2025-02-16 05:00:00,7.922527823448181
2025-02-16 06:00:00,7.536991028785706
2025-02-16 07:00:00,7.625946879386902
2025-02-16 08:00:00,7.32672527551651
2025-02-16 09:00:00,6.527165484428406
2025-02-16 10:00:00,7.083579499721527
2025-02-16 11:00:00,7.602842578887939
